City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Toul,FR,2022-07-20 21:52:41,broken clouds,48.6667,5.9167,67.01,88,64,6.91
124,Marsh Harbour,BS,2022-07-20 21:51:02,clear sky,26.5412,-77.0636,83.61,71,4,10.71
125,Maceio,BR,2022-07-20 21:51:20,overcast clouds,-9.6658,-35.7353,74.64,88,100,6.91
126,Pakhtakoron,TJ,2022-07-20 21:52:42,clear sky,40.1571,68.7466,79.7,24,0,7.54
127,San Joaquin,US,2022-07-20 21:52:42,clear sky,37.9333,-121.3011,100.53,15,0,11.5
128,Leningradskiy,RU,2022-07-20 21:52:42,snow,69.3833,178.4167,33.46,99,100,19.69
129,Narsaq,GL,2022-07-20 21:52:43,overcast clouds,60.9167,-46.05,54.37,82,86,3.51
130,Mandapam,IN,2022-07-20 21:52:43,broken clouds,9.2833,79.1167,82.15,81,63,8.55
131,Sun City West,US,2022-07-20 21:52:43,broken clouds,33.662,-112.3413,110.53,23,75,10.36
132,Waddan,LY,2022-07-20 21:52:44,clear sky,29.1614,16.139,79.79,47,0,13.4
133,Faya,SA,2022-07-20 21:52:44,overcast clouds,18.3851,42.4509,66.72,55,100,8.05
134,Touros,BR,2022-07-20 21:52:44,broken clouds,-5.1989,-35.4608,75.13,84,82,11.16
135,Zhigansk,RU,2022-07-20 21:52:45,overcast clouds,66.7697,123.3711,51.96,65,98,15.61
136,Digby,CA,2022-07-20 21:52:45,clear sky,44.6169,-65.7655,81.55,69,6,11.54
137,Kinablangan,PH,2022-07-20 21:52:45,overcast clouds,7.6947,126.5503,78.3,82,94,3.98
138,Fairlie,GB,2022-07-20 21:52:46,clear sky,55.756,-4.8556,58.39,84,2,1.99
139,Clyde River,CA,2022-07-20 21:53:46,light rain,70.4692,-68.5914,39.43,93,100,8.05
140,Tarko-Sale,RU,2022-07-20 21:53:46,overcast clouds,64.9225,77.785,53.91,62,100,9.51
141,Auki,SB,2022-07-20 21:53:47,overcast clouds,-8.7676,160.7034,81.7,74,100,3.02
142,Hithadhoo,MV,2022-07-20 21:53:47,overcast clouds,-0.6,73.0833,80.94,69,100,2.84
143,Bengkulu,ID,2022-07-20 21:53:47,broken clouds,-3.8004,102.2655,75.58,91,64,3.65
144,Emerald,AU,2022-07-20 21:53:48,moderate rain,-23.5333,148.1667,53.74,100,40,21.85
145,Along,IN,2022-07-20 21:53:48,overcast clouds,28.1667,94.7667,75.2,99,100,0.49
146,Tamandare,BR,2022-07-20 21:53:48,scattered clouds,-8.7597,-35.1047,74.35,90,33,11.32
147,Turkistan,KZ,2022-07-20 21:53:49,clear sky,43.0,68.0,86.4,17,0,11.16
148,Beringovskiy,RU,2022-07-20 21:53:49,overcast clouds,63.05,179.3167,43.59,73,99,17.16
149,Jamestown,US,2022-07-20 21:49:02,broken clouds,42.097,-79.2353,89.19,52,75,18.41
150,Galle,LK,2022-07-20 21:53:49,overcast clouds,6.0367,80.217,78.44,86,98,16.11
151,Petatlan,MX,2022-07-20 21:53:50,scattered clouds,17.5167,-101.2667,90.88,59,26,6.46
152,Alice,US,2022-07-20 21:53:50,clear sky,27.7523,-98.0697,98.04,41,1,24.05
153,College,US,2022-07-20 21:49:51,broken clouds,64.8569,-147.8028,66.29,57,75,8.05
154,Tanete,ID,2022-07-20 21:53:50,few clouds,-3.9443,119.7848,73.2,97,19,3.18
155,Wad Rawah,SD,2022-07-20 21:53:51,light rain,15.1603,33.1397,78.03,68,93,23.0
156,Alugan,PH,2022-07-20 21:53:51,moderate rain,12.2188,125.4808,81.45,80,94,3.8
